firstVisit_id,order_id,source_generalizada
,605504045125,Unknown
,3823615967295,Unknown
13755680587839,5837952581695,direct
,596940783685,Unknown
,598392078405,Unknown
,672946094149,Unknown
,605529571397,Unknown
,836798120005,Unknown
,836798939205,Unknown
2382809530437,607289770053,Facebook
2383123152965,607447875653,direct
2384880992325,609000194117,direct
,658381832261,Unknown
2386416107589,610030125125,direct
2390668116037,612519903301,direct
,615273398341,Unknown
,616517042245,Unknown
,1379928408133,Unknown
2394221019205,615942586437,direct
2394365427781,616186576965,Facebook
,616208662597,Unknown
2394504101957,616397471813,Instagram
2394974093381,617078718533,Instagram
2395339063365,617295609925,direct
,617301540933,Unknown
2395360788549,617306488901,direct
2396086861893,617708650565,direct
,617792208965,Unknown
,617820782661,Unknown
2397455417413,618537975877,direct
2398667702341,619248910405,direct
,668652929093,Unknown
4102773997631,2247114620991,Google
,633530581061,Unknown
2397886873669,618791043141,direct
2398143348805,618925228101,direct
,1166850097221,Unknown
,1175160193093,Unknown
2398218059845,618965270597,direct
2398541840453,619176263749,Facebook
,619183538245,Unknown
2398928076869,619411636293,direct
,620053266501,Unknown
2400180928581,620397985861,direct
2400476069957,620647383109,Facebook
2401188053061,621351600197,Facebook
2401910358085,622257406021,Instagram
2402525839429,622713733189,Facebook
2403968516165,623909240901,Facebook
2404344692805,624238592069,Facebook
,624420945989,Unknown
,842939072581,Unknown
,624422617157,Unknown
2405062049861,624670539845,direct
2405561958469,624939270213,direct
2405890785349,625115529285,Facebook
2406408552517,625407000645,direct
,808770699333,Unknown
,842487660613,Unknown
2409531572293,627122339909,direct
2409555460165,627135840325,direct
,627152814149,Unknown
2410629103685,627744112709,Facebook
2410935681093,628033880133,direct
2414080950341,630304407621,Facebook
2415108325445,631013408837,Facebook
2415300247621,631133896773,direct
,783638626373,Unknown
,1315509731397,Unknown
2415333474373,631152803909,direct
,819395756101,Unknown
2415904817221,631465214021,Facebook
2415994437701,631515054149,Google
2417115496517,632186241093,direct
2417708892229,632480333893,Facebook
2417924243525,632608391237,direct
2417928896581,632611045445,direct
,646242992197,Unknown
2417931976773,632612487237,direct
,2380834111551,Unknown
2423317037125,637329309765,direct
2423385587781,637380460613,direct
2425493520453,639119949893,Google
2426059423813,639684444229,direct
,659233833029,Unknown
,639804309573,Unknown
,977036574789,Unknown
2426349224005,639914639429,direct
2428045819973,641547796549,direct
2428178399301,641693220933,direct
2432501645381,645916360773,Facebook
3551962071103,1872194306111,direct
2432858030149,646297583685,Facebook
2450849955909,656429482053,direct
,656487153733,Unknown
2451966132293,656990502981,Facebook
2452975321157,657484021829,Facebook
,657938153541,Unknown
,782104723525,Unknown
,658363220037,Unknown
,658423775301,Unknown
2457601474629,660337295429,Facebook
2458535067717,660898447429,Facebook
2461852631109,663472406597,Facebook
2461360652357,663153049669,Facebook
2461991010373,663558717509,direct
2512637886533,698729693253,direct
,867465592901,Unknown
3155167510597,1316049551429,Facebook
3377921589317,1702399803461,Facebook
2463015862341,664513970245,Facebook
2464552943685,665644335173,Facebook
2463087460421,664580423749,Facebook
,666728202309,Unknown
,667141668933,Unknown
,667818426437,Unknown
2469694275653,668677865541,direct
,684962152517,Unknown
3008273055813,1174769107013,direct
12788597882943,5236230488127,Google
2470622789701,669699014725,Facebook
,670017126469,Unknown
2472890761285,671448465477,Facebook
2475360583749,672807813189,Facebook
,673065173061,Unknown
,673369260101,Unknown
,674628075589,Unknown
,677162909765,Unknown
2480842440773,676062167109,Facebook
2483782942789,677838094405,Facebook
2485247213637,678690062405,direct
,688133931077,Unknown
,678621544517,Unknown
2488083611717,680258076741,Google
2490407256133,681579380805,Instagram
2491940274245,682470637637,direct
2492940451909,683016618053,E-Commerce
,688863903813,Unknown
,691981975621,Unknown
2507868930117,694844293189,direct
,697067339845,Unknown
,697070157893,Unknown
,697797476421,Unknown
,699645329477,Unknown
,699897315397,Unknown
,700504277061,Unknown
,1725896491077,Unknown
,1739634540613,Unknown
,708493508677,Unknown
,778328604741,Unknown
2534182092869,712400240709,direct
2537647800389,714743611461,Google
3103496110149,1287946207301,Google
3228627664965,1368155848773,Google
4225541799999,2308585979967,direct
,715143839813,Unknown
,717862305861,Unknown
2542430552133,717900808261,Google Ads
2554795229253,723957874757,Facebook
2556939141189,725008744517,Facebook
,725170126917,Unknown
,2019389734975,Unknown
,725957247045,Unknown
,728139038789,Unknown
2563735027781,728392564805,direct
,1725621239877,Unknown
2570097623109,731919089733,direct
2590080827461,743197704261,direct
,744088567877,Unknown
,4260927471679,Unknown
,758262104133,Unknown
,767603769413,Unknown
,818546245701,Unknown
,771019964485,Unknown
2638298742853,773659164741,Facebook
,829381574725,Unknown
,829385113669,Unknown
2642762498117,776355217477,Facebook
,776359411781,Unknown
2650682720325,780870516805,Facebook
,787110330437,Unknown
,884834566213,Unknown
,794536378437,Unknown
,1286863716421,Unknown
,2353125785663,Unknown
10164129890367,3718435536959,direct
,4000444022847,Unknown
,4040206778431,Unknown
,4273711120447,Unknown
,794546274373,Unknown
2675523584069,795750039621,Google
,804817764421,Unknown
,805523390533,Unknown
,806399049797,Unknown
2720951140421,825680986181,Google
2695336722501,807401881669,direct
,808551219269,Unknown
2712697700421,819482722373,Google
4611479011391,2514176507967,Google
,824252858437,Unknown
2719420645445,824552521797,YouTube
2722691285061,826777567301,Google Ads
,828239151173,Unknown
,829859692613,Unknown
2725455495237,828828254277,YouTube
3400191803461,1735221739589,Google
,831722225733,Unknown
2745353109573,840586199109,Facebook
2752722010181,846189035589,Facebook
2745646448709,840741257285,Google Ads
2774477897797,859261796421,Google
2746653900869,841236676677,Facebook
2746730217541,841271803973,direct
,841307127877,Unknown
,841345073221,Unknown
2747653128261,841997910085,direct
,842559258693,Unknown
,1030008209477,Unknown
,2392259985471,Unknown
2750373527621,843903893573,YouTube
,844006195269,Unknown
,844392595525,Unknown
4187984920639,2289977983039,Facebook
2751163367493,844630392901,direct
2985495232581,1018933674053,Google
3384472535109,1719253925957,Google
4562778325055,2488388124735,Google
2895239151685,952642437189,direct
2897616928837,955304181829,email
2964717568069,1007665315909,Facebook
,2304830308415,Unknown
2752617316421,846130643013,Facebook
,847478390853,Unknown
2756167368773,848041836613,Facebook
,848633266245,Unknown
2757311627333,848660693061,Facebook
,848679665733,Unknown
,848692281413,Unknown
2759902756933,850155569221,Google
2762660216901,851627769925,Facebook
2815139020869,889790890053,Facebook
2893124239429,950140338245,Facebook
3433532293189,1763654762565,Facebook
2764405407813,852635091013,Facebook
2767231549509,854385328197,Facebook
,876163596357,Unknown
4227358163007,2309416124479,Instagram
,853367488581,Unknown
2766210990149,853703917637,Facebook
,855080861765,Unknown
2773471625285,858615939141,Instagram
2774937305157,859502051397,Facebook
2789066309701,867571171397,Google
2795104141381,871135772741,Instagram
,871208779845,Unknown
2800413474885,874693165125,direct
2825260400709,876160843845,Instagram
2802694914117,876187451461,direct
2803759677509,876944392261,Facebook
2806948036677,881206427717,direct
,881227857989,Unknown
2857616670789,913033592901,direct
,3885335871551,Unknown
2807610277957,882982158405,Instagram
3190748348485,1335061053509,Facebook
2836349485125,884836991045,Facebook
,1174980493381,Unknown
2810459455557,886195912773,Facebook
2815949865029,890240008261,direct
,890246987845,Unknown
,891107934277,Unknown
,891109441605,Unknown
,892997861445,Unknown
,893823221829,Unknown
2847903055941,907563860037,direct
2855519486021,911887368261,direct
2856726200389,912552067141,direct
2857203368005,912803201093,direct
,911446769733,Unknown
,1303009951813,Unknown
,1907250921535,Unknown
,1952611434559,Unknown
,4300668436543,Unknown
2859420450885,913988321349,direct
2862198980677,915529138245,direct
2877239853125,930611429445,direct
2883637346373,939018584133,Facebook
,946718507077,Unknown
,2339229302847,Unknown
,947709411397,Unknown
2892472090693,949472002117,Facebook
2896828694597,954514374725,Facebook
2897101586501,954787233861,Facebook
2897210998853,954899660869,Facebook
,959906578501,Unknown
2910537547845,970104832069,Google Ads
,977033166917,Unknown
2933595242565,987563130949,Other Website
2934505537605,988340027461,Google
